country_residence,refugee_athletes
Austria,1
Canada,1
France,4
Germany,10
Great Britain,5
Israel,2
Italy,2
Jordan,1
Kenya,1
Mexico,1
Netherlands,3
Spain,1
Sweden,1
Switzerland,3
United States,1
