discipline,refugee_athletes
Athletics,8
Badminton,1
Boxing,2
Breaking,1
Canoe Slalom,1
Canoe Sprint,3
Cycling Road,2
Judo,6
Shooting,2
Swimming,2
Taekwondo,5
Weightlifting,2
Wrestling,2
