country,number_athletes
USA,593
FRA,572
AUS,460
GER,427
JPN,410
CHN,388
ESP,382
ITA,380
GBR,327
CAN,316
BRA,277
NED,276
POL,214
NZL,195
HUN,169
BEL,165
EGY,149
KOR,141
UKR,140
RSA,138
ARG,136
IRL,133
SUI,127
DEN,123
SWE,117
CZE,112
SRB,112
IND,110
ROU,107
MEX,106
NOR,105
GRE,101
TUR,100
